m,Domain,Task,Organization(s),Organization Categorization,Author(s),Publication date,Year,Reference,Link,Citations,Inclusion criteria,Inclusion criteria met,Parameters,Training compute (FLOPs),Training dataset,Training dataset size (datapoints),Hidden layers,Inference compute (FLOPs),Training time (hours),Equivalent training time (hours),Inference time (ms),Training dataset size (GB),Approach,Dense or sparse model,Training objective,Training compute cost (2020 USD),Self-supervised training,Architecture,Compute Sponsor Categorization,Abstract
,Vision,Semantic segmentation,Chinese Academy of Sciences,Industry - Academia Collaboration (Academia leaning),"Jun Fu, Jing Liu, Haijie Tian, Yong Li, Yongjun Bao, Zhiwei Fang, Hanqing Lu",21/04/2019,2019,Dual Attention Network for Scene Segmentation,https://openaccess.thecvf.com/content_CVPR_2019/html/Fu_Dual_Attention_Network_for_Scene_Segmentation_CVPR_2019_paper.html,1.99E+03,,Yes,,,,,,,,,,,,,,,,,Industry,
ResNet-50 Billion-scale,Vision,Image classification,OpenAI,Industry,"A Radford, J Wu, R Child, D Luan, D Amodei",02/05/2019,2019,Language Models are Unsupervised Multitask Learners,https://paperswithcode.com/paper/language-models-are-unsupervised-multitask,1.70E+03,Highly cited,Yes,2.60E+07,,,,,,,,,,,,,,,,Industry,
ResNeXt-101 Billion-scale,Vision,Image classification,Facebook AI,Industry,"IZ Yalniz, H Jégou, K Chen, M Paluri",02/05/2019,2019,Billion-scale semi-supervised learning for image classification,https://arxiv.org/abs/1905.00546,3.19E+02,,No,1.93E+08,,,,,,,,,,,,,,,,Industry,
CPC v2,Drawing,Image completion,"DeepMind, Berkeley",Industry - Academia Collaboration (Industry leaning),,22/05/2019,2019,Data-Efficient Image Recognition with Contrastive Predictive Coding,https://arxiv.org/abs/1905.09272,4.91E+02,,No,3.03E+08,,,,,,,,,,,,,,,,Industry,
EfficientNet-L2,Vision,Image classification,Google,Industry,"M Tan, Q Le",28/05/2019,2019,EfficientNet: Rethinking Model Scaling for Convolutional Neural Networks,https://arxiv.org/abs/1905.11946,3.19E+03,Highly cited,Yes,4.80E+08,,,,,3.90E+08,,,,,,,Score,,,,Industry,
Grover-Mega,Language,,University of Washington,Industry - Academia Collaboration (Academia leaning),"R Zellers, A Holtzman, H Rashkin, Y Bisk",29/05/2019,2019,Defending Against Neural Fake News,https://arxiv.org/abs/1905.12616,5.43E+02,,No,1.50E+09,,,,,,,,,,,,,,,,Industry,
XLM,Language,,Facebook,Industry,"G Lample, A Conneau",01/06/2019,2019,Cross-lingual Language Model Pretraining,https://arxiv.org/abs/1901.07291,6.78E+02,,No,6.65E+08,,,,,,,,,,,,,,,,Industry,
XLNet,Language,,"Carnegie Mellon University, Google AI Brain ",Industry - Academia Collaboration,"Z Yang, Z Dai, Y Yang, J Carbonell",01/06/2019,2019,XLNet: Generalized Autoregressive Pretraining for Language Understanding,https://arxiv.org/abs/1906.08237,3.06E+03,Highly cited,Yes,3.40E+08,,,,,,,,,,,,,,,,Industry,
AMDIM,Drawing,Image completion,Microsoft Research,Industry,"Philip Bachman, R Devon Hjelm, William Buchwalter",03/06/2019,2019,Learning Representations by Maximizing Mutual Information Across Views,https://arxiv.org/abs/1906.00910,4.86E+02,,No,6.26E+08,,,,,,,,,,,,,,,,Industry,
FixRes ResNeXt-101 WSL,Vision,Image classification,Facebook AI,Industry,"H Touvron, A Vedaldi, M Douze, H Jégou",14/06/2019,2019,Fixing the train-test resolution discrepancy,https://arxiv.org/abs/1906.06423,4.05E+02,,No,8.29E+08,,,9.40E+08,,,,,,,,,,,,,Industry,
RoBERTa,Language,,Facebook,Industry,"Y Liu, M Ott, N Goyal, J Du, M Joshi, D Chen",01/07/2019,2019,RoBERTa: A Robustly Optimized BERT Pretraining Approach,https://arxiv.org/abs/1907.11692,1.51E+03,Highly cited,Yes,3.55E+08,,,,,,,,,,,,,,,,Industry,
BigBiGAN,Drawing,Image completion,Google,Industry,"Spyros Gidaris, Praveer Singh, Nikos Komodakis",04/07/2019,2019,Large Scale Adversarial Representation Learning,https://arxiv.org/abs/1907.02544,4.03E+02,,No,8.60E+07,,,,,,,,,,,,,,,,Industry,
ALBERT,Language,,"Google, TTIC",Industry - Academia Collaboration,"Z Lan, M Chen, S Goodman, K Gimpel",26/09/2019,2019,ALBERT: A Lite BERT for Self-supervised Learning of Language Representations,https://arxiv.org/abs/1909.11942,1.66E+03,Highly cited,Yes,2.89E+05,,,3.30E+09,,2.25E+10,,,,,,,,,,,Industry,
DistilBERT,Language,Text autocompletion,HuggingFace,Industry,"Victor Sanh, Lysandre Debut, Julien Chaumond, Thomas Wolf",02/10/2019,2019,"DistilBERT, a distilled version of BERT: smaller, faster, cheaper and lighter",https://arxiv.org/abs/1910.01108,8.95E+02,,No,6.60E+07,,,,,,,,,,,,Perplexity of next token,,,,Industry,
BART-large,Language,,Facebook AI,Industry,"Mike Lewis, Yinhan Liu, Naman Goyal, Marjan Ghazvininejad, Abdelrahman Mohamed, Omer Levy, Ves Stoyanov, Luke Zettlemoyer",29/10/2019,2019,"BART: Denoising Sequence-to-Sequence Pre-training for Natural Language Generation, Translation, and Comprehension",https://arxiv.org/abs/1910.13461,1.01E+03,Highly cited,Yes,4.06E+08,,,,,,,,,,,,,,,,Industry,
Noisy Student (L2),Vision,Image classification,"Carnegie Mellon University, Google",Industry - Academia Collaboration (Industry leaning),"Q Xie, MT Luong, E Hovy",11/11/2019,2019,Self-training with Noisy Student improves ImageNet classification,https://paperswithcode.com/paper/self-training-with-noisy-student-improves/review/,5.76E+02,,No,4.80E+08,,,,,1.04E+12,,,,,,,,,,,Industry,
MoCo,Drawing,Image completion,Facebook AI,Industry,"Kaiming He, Haoqi Fan, Yuxin Wu, Saining Xe, Ross Girshick",13/11/2019,2019,Momentum Contrast for Unsupervised Visual Representation Learning,https://arxiv.org/abs/1911.05722,1.72E+03,Highly cited,Yes,3.75E+08,,,,,,,,,,,,,,,,Industry,
,Vision,,University of Oxford,Academia,"S Wu, C Rupprecht, A Vedaldi",25/11/2019,2019,Unsupervised Learning of Probably Symmetric Deformable 3D Objects From Images in the Wild,https://arxiv.org/abs/1911.11130,1.96E+02,,No,,,,,,,,,,,,,,,,,Academia,
StarGAN v2,Drawing,,"NAVER AI Lab, Yonsei University, Swiss Federal Institute of Technology ",Industry - Academia Collaboration (Industry leaning),"Yunjey Choi, Youngjung Uh, Jaejun Yoo, Jung-Woo Ha",04/12/2019,2019,StarGAN v2: Diverse Image Synthesis for Multiple Domains,https://arxiv.org/abs/1912.01865,8.32E+02,,No,,,,,,,,,,,,,,,,,Industry,
Big Transfer (BiT-L),Vision,Image classification,Google Research,Industry,"A Kolesnikov, L Beyer, X Zhai, J Puigcerver, J Yung",24/12/2019,2019,Large scale learning of general visual representations for transfer,https://arxiv.org/abs/1912.11370,8.30E+01,,No,9.28E+08,,,,,,,,,,,,,,,,Industry,
BigGAN-deep 512x512,Drawing,Image generation,"Heriot-Watt University, DeepMind",Industry - Academia Collaboration,"A Brock, J Donahue, K Simonyan",28/09/2018,2018,Large Scale GAN Training for High Fidelity Natural Image Synthesis,https://arxiv.org/abs/1809.11096,1.98E+03,Highly cited,Yes,1.13E+08,3.00E+21,JFT-300M,2.92E+08,,,,,,,,,,10448.44,,,Industry,"Despite recent progress in generative image modeling, successfully generating high-resolution, diverse samples from complex datasets such as ImageNet remains an elusive goal. To this end, we train Generative Adversarial Networks at the largest scale yet attempted, and study the instabilities specific to such scale. We find that applying orthogonal regularization to the generator renders it amenable to a simple ""truncation trick,"" allowing fine control over the trade-off between sample fidelity and variety by reducing the variance of the Generator's input. Our modifications lead to models which set the new state of the art in class-conditional image synthesis. When trained on ImageNet at 128x128 resolution, our models (BigGANs) achieve an Inception Score (IS) of 166.5 and Frechet Inception Distance (FID) of 7.4, improving over the previous best IS of 52.52 and FID of 18.6."
AmoebaNet-A (F=448),Vision,Image classification,Google Brain,Industry,"Esteban Real, Alok Aggarwal, Yanping Huang, Quoc V Le",05/02/2018,2018,Regularized Evolution for Image Classifier Architecture Search,https://arxiv.org/abs/1802.01548,1.71E+03,Highly cited,Yes,4.69E+08,3.85E+20,Imagenet-1k,1.28E+06,,,,,,,,,,5858.75,,,Industry,"The effort devoted to hand-crafting neural network image classifiers has motivated the use of architecture search to discover them automatically. Although evolutionary algorithms have been repeatedly applied to neural network topologies, the image classifiers thus discovered have remained inferior to human-crafted ones. Here, we evolve an image classifier---AmoebaNet-A---that surpasses hand-designs for the first time. To do this, we modify the tournament selection evolutionary algorithm by introducing an age property to favor the younger genotypes. Matching size, AmoebaNet-A has comparable accuracy to current state-of-the-art ImageNet models discovered with more complex architecture-search methods. Scaled to larger size, AmoebaNet-A sets a new state-of-the-art 83.9% / 96.6% top-5 ImageNet accuracy. In a controlled comparison against a well known reinforcement learning algorithm, we give evidence that evolution can obtain results faster with the same hardware, especially at the earlier stages of the search. This is relevant when fewer compute resources are available. Evolution is, thus, a simple method to effectively discover high-quality architectures."
BERT-Large,Language,Next sentence prediction,Google AI,Industry,"J Devlin, MW Chang, K Lee, K Toutanova",11/10/2018,2018,BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding,https://arxiv.org/abs/1810.04805,2.38E+04,Highly cited,Yes,3.40E+08,2.85E+20,,3.30E+09,,7.90E+10,,,,,,,,999.93,Yes,,Industry,"We introduce a new language representation model called BERT, which stands for Bidirectional Encoder Representations from Transformers. Unlike recent language representation models, BERT is designed to pre-train deep bidirectional representations from unlabeled text by jointly conditioning on both left and right context in all layers. As a result, the pre-trained BERT model can be fine-tuned with just one additional output layer to create state-of-the-art models for a wide range of tasks, such as question answering and language inference, without substantial task-specific architecture modifications. BERT is conceptually simple and empirically powerful. It obtains new state-of-the-art results on eleven natural language processing tasks, including pushing the GLUE score to 80.5% (7.7% point absolute improvement), MultiNLI accuracy to 86.7% (4.6% absolute improvement), SQuAD v1.1 question answering Test F1 to 93.2 (1.5 point absolute improvement) and SQuAD v2.0 Test F1 to 83.1 (5.1 point absolute improvement)."
IMPALA,Games,Atari,DeepMind,Industry,"Lasse Espeholt, Hubert Soyer, Remi Munos, Karen Simonyan, Volodymir Mnih, Tom Ward, Yotam Doron, Vlad Firoiu, Tim Harley, Iain Dunning, Shane Legg, Koray Kavukcuoglu",05/02/2018,2018,IMPALA: Scalable Distributed Deep-RL with Importance Weighted Actor-Learner Architectures,https://arxiv.org/abs/1802.01561,6.75E+02,,No,1.60E+06,1.68E+20,,2.40E+11,,,,,,,,,,2553.82,Yes,,Industry,"In this work we aim to solve a large collection of tasks using a single reinforcement learning agent with a single set of parameters. A key challenge is to handle the increased amount of data and extended training time. We have developed a new distributed agent IMPALA (Importance Weighted Actor-Learner Architecture) that not only uses resources more efficiently in single-machine training but also scales to thousands of machines without sacrificing data efficiency or resource utilisation. We achieve stable learning at high throughput by combining decoupled acting and learning with a novel off-policy correction method called V-trace. We demonstrate the effectiveness of IMPALA for multi-task reinforcement learning on DMLab-30 (a set of 30 tasks from the DeepMind Lab environment (Beattie et al., 2016)) and Atari-57 (all available Atari games in Arcade Learning Environment (Bellemare et al., 2013a)). Our results show that IMPALA is able to achieve better performance than previous agents with less data, and crucially exhibits positive transfer between tasks as a result of its multi-task approach."
YOLOv3,Vision,Object detection,University of Washington,Academia,"Joseph Redmon, Ali Farhadi",08/04/2018,2018,YOLOv3: An Incremental Improvement,https://arxiv.org/abs/1804.02767,7.71E+03,Highly cited,Yes,1.06E+08,5.09E+19,ImageNet,1.28E+06,,7.10E+10,,,,,,,,295.76,,,Academia,"We present some updates to YOLO! We made a bunch of little design changes to make it better. We also trained this new network that's pretty swell. It's a little bigger than last time but more accurate. It's still fast though, don't worry. At 320x320 YOLOv3 runs in 22 ms at 28.2 mAP, as accurate as SSD but three times faster. When we look at the old .5 IOU mAP detection metric YOLOv3 is quite good. It achieves 57.9 mAP@50 in 51 ms on a Titan X, compared to 57.5 mAP@50 in 198 ms by RetinaNet, similar performance but 3.8x faster. As always, all the code is online at this https URL"
Population-based DRL,Games,Capture the flag,DeepMind,Industry,"Max Jaderberg, Wojciech M. Czarnecki, Iain Dunning, Luke Marris, Guy Lever, Antonio Garcia Castaneda, Charles Beattie, Neil C. Rabinowitz, Ari S. Morcos, Avraham Ruderman, Nicolas Sonnerat, Tim Green, Louise Deason, Joel Z. Leibo, David Silver, Demis Hassabis, Koray Kavukcuoglu, Thore Graepel",03/07/2018,2018,Human-level performance in first-person multiplayer games with population-based deep reinforcement learning,https://arxiv.org/abs/1807.01281,4.34E+02,,No,1.22E+08,3.49E+19,,,,6.00E+10,,,,,,,,130.36,Yes,,Industry,"Recent progress in artificial intelligence through reinforcement learning (RL) has shown great success on increasingly complex single-agent environments and two-player turn-based games. However, the real-world contains multiple agents, each learning and acting independently to cooperate and compete with other agents, and environments reflecting this degree of complexity remain an open challenge. In this work, we demonstrate for the first time that an agent can achieve human-level in a popular 3D multiplayer first-person video game, Quake III Arena Capture the Flag, using only pixels and game points as input. These results were achieved by a novel two-tier optimisation process in which a population of independent RL agents are trained concurrently from thousands of parallel matches with agents playing in teams together and against each other on randomly generated environments. Each agent in the population learns its own internal reward signal to complement the sparse delayed reward from winning, and selects actions using a novel temporally hierarchical representation that enables the agent to reason at multiple timescales. During game-play, these agents display human-like behaviours such as navigating, following, and defending based on a rich learned representation that is shown to encode high-level game knowledge. In an extensive tournament-style evaluation the trained agents exceeded the win-rate of strong human players both as teammates and opponents, and proved far stronger than existing state-of-the-art agents. These results demonstrate a significant jump in the capabilities of artificial agents, bringing us closer to the goal of human-level intelligence."
GPT,Language,,OpenAI,Industry,"A Radford, K Narasimhan, T Salimans, I Sutskever",01/06/2018,2018,Improving Language Understanding by Generative Pre-Training,https://openai.com/blog/language-unsupervised/,2.26E+03,Highly cited,Yes,1.17E+08,1.76E+19,BooksCorpus,1.00E+09,,3.00E+10,,,,,,,,68.72,Yes,,Industry,"Natural language understanding comprises a wide range of diverse tasks such as textual entailment, question answering, semantic similarity assessment, and document classification. Although large unlabeled text corpora are abundant, labeled data for learning these specific tasks is scarce, making it challenging for discriminatively trained models to perform adequately. We demonstrate that large gains on these tasks can be realized by generative pre-training of a language model on a diverse corpus of unlabeled text, followed by discriminative fine-tuning on each specific task. In contrast to previous approaches, we make use of task-aware input transformations during fine-tuning to achieve effective transfer while requiring minimal changes to the model architecture. We demonstrate the effectiveness of our approach on a wide range of benchmarks for natural language understanding. Our general task-agnostic model outperforms discriminatively trained models that use architectures specifically crafted for each task, significantly improving upon the state of the art in 9 out of the 12 tasks studied. For instance, we achieve absolute improvements of 8.9% on commonsense reasoning (Stories Cloze Test), 5.7% on question answering (RACE), and 1.5% on textual entailment (MultiNLI)."
Refined Part Pooling,Vision,Person retrieval,"Tsinghua University, University of Technology Sydney, University of Texas at San Antonio",Academia,"Yifan Sun, Liang Zheng, Yi Yang, Qi Tian, Shengjin Wang",09/01/2018,2018,Beyond Part Models: Person Retrieval with Refined Part Pooling (and a Strong Convolutional Baseline),https://arxiv.org/abs/1711.09349,1.24E+03,Highly cited,Yes,,,,,,,,,,,,,,,,,Academia,
ULM-FiT,Language,Text classification,"University of San Francisco, Insight Centre NUI Galway",Industry - Academia Collaboration,"J Howard, S Ruder",18/01/2018,2018,Universal Language Model Fine-tuning for Text Classification,https://arxiv.org/abs/1801.06146,1.94E+03,Highly cited,Yes,,,,,,,,,,,,,,,,LSTM RNN,Industry,
ELMo,Language,,"AllenAI, University of Washington",Industry,"ME Peters, M Neumann, M Iyyer, M Gardner",01/02/2018,2018,Deep contextualized word representations,https://arxiv.org/abs/1802.05365,7.48E+03,Highly cited,Yes,9.40E+07,,,,,2.60E+10,,,,,,,,,Yes,,Industry,
AmoebaNet-A (F=190),Vision,Image classification,Google Brain,Industry,"E Real, A Aggarwal, Y Huang, QV Le",05/02/2018,2018,Regularized Evolution for Image Classifier Architecture Search,https://arxiv.org/abs/1802.01548,1.43E+03,Highly cited,Yes,8.70E+07,,,,,,,,,,,,,,,,Industry,
DeepLabV3+,Vision,Semantic segmentation,Google Inc.,Industry,"Liang-Chieh Chen, Yukun Zhu, George Papandreou, Florian Schroff, Hartwig Adam",07/02/2018,2018,Encoder-Decoder with Atrous Separable Convolution for Semantic Image Segmentation,https://arxiv.org/abs/1802.02611v3,5.37E+03,Highly cited,Yes,,,,,,,,,,,,,,,,,Industry,
,Vision,Image generation,"Preferred Networks Inc, Ritsumeikan University, National Institute of Informatics",Industry - Academia Collaboration,"Takeru Miyato, Toshiki Kataoka, Masanori Koyama, Yuichi Yoshida",16/02/2018,2018,Spectral Normalization for Generative Adversarial Networks,https://arxiv.org/abs/1802.05957,2.74E+03,Highly cited,Yes,,,,,,,,,,,,,,,,,Industry,
,Vision,Image super-resolution,"Northeastern University, University of Rochester",Academia," Yulun Zhang, Yapeng Tian, Yu Kong, Bineng Zhong, Yun Fu",24/02/2018,2018,Residual Dense Network for Image Super-Resolution,https://openaccess.thecvf.com/content_cvpr_2018/html/Zhang_Residual_Dense_Network_CVPR_2018_paper.html,1.78E+03,Highly cited,Yes,,,,,,,,,,,,,,,,,Academia,
Chinese - English translation,Language,Translation,Microsoft,Industry,"H Hassan, A Aue, C Chen, V Chowdhary",01/03/2018,2018,Achieving Human Parity on Automatic Chinese to English News Translation,https://www.microsoft.com/en-us/research/publication/achieving-human-parity-on-automatic-chinese-to-english-news-translation/,5.30E+02,,No,,,,,,,,,,,,,,,Yes,,Industry,
Rotation,Drawing,Image completion,École des Ponts ParisTech,Academia,"Spyros Gidaris, Praveer Singh, Nikos Komodakis",21/03/2018,2018,Unsupervised Representation Learning by Predicting Image Rotations,https://arxiv.org/abs/1803.07728,1.16E+03,Highly cited,Yes,8.60E+07,,,,,,,,,,,,,,,,Academia,
ResNeXt-101 32x48d,Vision,Image classification,Facebook,Industry,"D Mahajan, R Girshick",02/05/2018,2018,Exploring the Limits of Weakly Supervised Pretraining,https://arxiv.org/abs/1805.00932,6.19E+02,,No,8.29E+08,,,,,3.12E+10,,,,,,,,,,,Industry,
MobileNetV2,Vision,,Google Inc.,Industry,"M Sandler, A Howard, M Zhu",18/06/2018,2018,MobileNetV2: Inverted Residuals and Linear Bottlenecks,https://ieeexplore.ieee.org/document/8578572,5.71E+03,Highly cited,Yes,3.40E+06,,,,,6.00E+08,,,,,,,,,,,Industry,
ShuffleNet v2,Vision,,"Tsinghua University, Megvii Inc",Industry - Academia Collaboration,"N Ma, X Zhang, HT Zheng",30/06/2018,2018,ShuffleNet V2: Practical Guidelines for Efficient CNN Architecture Design,https://arxiv.org/abs/1807.11164,1.41E+03,Highly cited,Yes,2.28E+06,,,,,3.00E+08,,,,,,,,,,,Industry,
,Vision,Image super-resolution,Northeastern University,Academia," Yulun Zhang, Kunpeng Li, Kai Li, Lichen Wang, Bineng Zhong, Yun Fu",08/07/2018,2018,Image Super-Resolution Using Very Deep Residual Channel Attention Networks,https://openaccess.thecvf.com/content_ECCV_2018/html/Yulun_Zhang_Image_Super-Resolution_Using_ECCV_2018_paper.html,1.80E+03,Highly cited,Yes,,,,,,,,,,,,,,,,,Academia,
ESRGAN,Vision,Image super-resolution,"Chinese University of Hong Kong, Chinese Academy of Sciences, Nanyang Technological University",Academia,"Xintao Wang, Ke Yu, Shixiang Wu, Jinjin Gu, Yihao Liu, Chao Dong, Chen Change Loy, Yu Qiao, Xiaoou Tang",01/09/2018,2018,ESRGAN: Enhanced Super-Resolution Generative Adversarial Networks,https://arxiv.org/abs/1809.00219,1.50E+03,Highly cited,Yes,,,,,,,,,,,,,,,,,Academia,
MetaMimic,Games,,Google,Industry,"Tom Le Paine, Sergio Gomez",11/10/2018,2018,One-Shot High-Fidelity Imitation: Training Large-Scale Deep Nets with RL,https://arxiv.org/abs/1810.05017,1.90E+01,,No,2.20E+07,,,,,,,,,,,,,,,,Industry,
GPipe (Amoeba),Vision,Image classification,Google,Industry,"Y Huang, Y Cheng, A Bapna, O Firat",16/11/2018,2018,GPipe: Efficient Training of Giant Neural Networks using Pipeline Parallelism,https://arxiv.org/abs/1811.06965,4.86E+02,,No,5.57E+08,,ImageNet,1.28E+06,,,,,,,,,,,,,Industry,
GPipe (Transformer),Language,Translation,Google,Industry,"Y Huang, Y Cheng, A Bapna, O Firat",16/11/2018,2018,GPipe: Efficient Training of Giant Neural Networks using Pipeline Parallelism,https://arxiv.org/abs/1811.06965,4.86E+02,,No,6.00E+09,,,2.0E+10,,,,,,,,,,,Yes,,Industry,
AlphaGo Zero,Games,Go,DeepMind,Industry,"D Silver, J Schrittwieser, K Simonyan, I Antonoglou",19/10/2017,2017,Mastering the game of Go without human knowledge,https://www.researchgate.net/publication/320473480_Mastering_the_game_of_Go_without_human_knowledge,5.81E+03,Highly cited,Yes,4.64E+07,3.41E+23,,5.80E+09,,,,,,,,,,1544149.42,Yes,,Industry,"A long-standing goal of artificial intelligence is an algorithm that learns, tabula rasa, superhuman proficiency in challenging domains. Recently, AlphaGo became the first program to defeat a world champion in the game of Go. The tree search in AlphaGo evaluated positions and selected moves using deep neural networks. These neural networks were trained by supervised learning from human expert moves, and by reinforcement learning from self-play. Here we introduce an algorithm based solely on reinforcement learning, without human data, guidance or domain knowledge beyond game rules. AlphaGo becomes its own teacher: a neural network is trained to predict AlphaGo's own move selections and also the winner of AlphaGo's games. This neural network improves the strength of the tree search, resulting in higher quality move selection and stronger self-play in the next iteration. Starting tabula rasa, our new program AlphaGo Zero achieved superhuman performance, winning 100-0 against the previously published, champion-defeating AlphaGo. © 2017 Macmillan Publishers Limited, part of Springer Nature. All rights reserved."
AlphaGo Master,Games,Go,DeepMind,Industry,"D Silver, J Schrittwieser, K Simonyan, I Antonoglou",01/01/2017,2017,Mastering the game of Go without human knowledge,https://www.researchgate.net/publication/320473480_Mastering_the_game_of_Go_without_human_knowledge,5.81E+03,Highly cited,Yes,,1.50E+23,,,,,,,,,,,,852748.08,,,Industry,"A long-standing goal of artificial intelligence is an algorithm that learns, tabula rasa, superhuman proficiency in challenging domains. Recently, AlphaGo became the first program to defeat a world champion in the game of Go. The tree search in AlphaGo evaluated positions and selected moves using deep neural networks. These neural networks were trained by supervised learning from human expert moves, and by reinforcement learning from self-play. Here we introduce an algorithm based solely on reinforcement learning, without human data, guidance or domain knowledge beyond game rules. AlphaGo becomes its own teacher: a neural network is trained to predict AlphaGo's own move selections and also the winner of AlphaGo's games. This neural network improves the strength of the tree search, resulting in higher quality move selection and stronger self-play in the next iteration. Starting tabula rasa, our new program AlphaGo Zero achieved superhuman performance, winning 100-0 against the previously published, champion-defeating AlphaGo. © 2017 Macmillan Publishers Limited, part of Springer Nature. All rights reserved."
AlphaZero,Games,,DeepMind,Industry,"D Silver, T Hubert, J Schrittwieser, I Antonoglou",05/12/2017,2017,Mastering Chess and Shogi by Self-Play with a General Reinforcement Learning Algorithm,https://arxiv.org/abs/1712.01815,1.08E+03,Highly cited,Yes,,3.67E+22,,7.00E+05,,,,,,,,,Score,162054.70,Yes,,Industry,"The game of chess is the most widely-studied domain in the history of artificial intelligence. The strongest programs are based on a combination of sophisticated search techniques, domain-specific adaptations, and handcrafted evaluation functions that have been refined by human experts over several decades. In contrast, the AlphaGo Zero program recently achieved superhuman performance in the game of Go, by tabula rasa reinforcement learning from games of self-play. In this paper, we generalise this approach into a single AlphaZero algorithm that can achieve, tabula rasa, superhuman performance in many challenging domains. Starting from random play, and given no domain knowledge except the game rules, AlphaZero achieved within 24 hours a superhuman level of play in the games of chess and shogi (Japanese chess) as well as Go, and convincingly defeated a world-champion program in each case."
Libratus,Games,Poker,Carnegie Mellon University,Academia,"N Brown, T Sandholm, S Machine",01/01/2017,2017,Libratus: The Superhuman AI for No-Limit Poker,https://www.cs.cmu.edu/~noamb/papers/17-IJCAI-Libratus.pdf,9.70E+01,SOTA improvement,Yes,,1.15E+21,,,,,,3000000,,,,,,6253.49,,,Academia,"No-limit Texas Hold’em is the most popular variant of poker in the world. Heads-up no-limit Texas Hold’em is the main benchmark challenge for AI in imperfect-information games. We present Libratus, the first—and so far only—AI to defeat top human professionals in that game. Libratus’s architecture features three main modules, each of which has new algorithms: pre-computing a solution to an abstraction of the game which provides a high-level blueprint for the strategy of the AI, a new nested subgame-solving algorithm which repeatedly calculates a more detailed strategy as play progresses, and a self-improving module which augments the pre-computed blueprint over time."
OpenAI TI7 DOTA 1v1,Games,DOTA,OpenAI,Industry,"A Radford, K Narasimhan, T Salimans, I Sutskever",11/08/2017,2017,Dota 2 ,https://openai.com/five/,1.00E+03,,Yes,1.50E+08,6.05E+20,,,,,,,,,,,,2873.99,,,Industry,"On April 13th, 2019, OpenAI Five became the first AI system to defeat the world champions at an esports game. The game of Dota 2 presents novel challenges for AI systems such as long time horizons, imperfect information, and complex, continuous state-action spaces, all challenges which will become increasingly central to more capable AI systems. OpenAI Five leveraged existing reinforcement learning techniques, scaled to learn from batches of approximately 2 million frames every 2 seconds. We developed a distributed training system and tools for continual training which allowed us to train OpenAI Five for 10 months. By defeating the Dota 2 world champion (Team OG), OpenAI Five demonstrates that self-play reinforcement learning can achieve superhuman performance on a difficult task."
JFT,Vision,,"Google Research, CMU",Industry - Academia Collaboration,"ChenSun,AbhinavShrivastava,SaurabhSingh,andAbhinavGupta",04/08/2017,2017,Revisiting Unreasonable Effectiveness of Data in Deep Learning Era.,https://arxiv.org/abs/1707.02968,1.14E+03,Highly cited,Yes,,4.79E+20,JFT-300M,3.00E+08,,,,,,,,,,21396.42,,,Industry,"The success of deep learning in vision can be attributed to: (a) models with high capacity; (b) increased computational power; and (c) availability of large-scale labeled data. Since 2012, there have been significant advances in representation capabilities of the models and computational capabilities of GPUs. But the size of the biggest dataset has surprisingly remained constant. What will happen if we increase the dataset size by 10x or 100x? This paper takes a step towards clearing the clouds of mystery surrounding the relationship between `enormous data' and visual deep learning. By exploiting the JFT-300M dataset which has more than 375M noisy labels for 300M images, we investigate how the performance of current vision tasks would change if this data was used for representation learning. Our paper delivers some surprising (and some expected) findings. First, we find that the performance on vision tasks increases logarithmically based on volume of training data size. Second, we show that representation learning (or pre-training) still holds a lot of promise. One can improve performance on many vision tasks by just training a better base model. Finally, as expected, we present new state-of-the-art results for different vision tasks including image classification, object detection, semantic segmentation and human pose estimation. Our sincere hope is that this inspires vision community to not undervalue the data and develop collective efforts in building larger datasets."
MoE,Language,Language modelling / Machine translation,"Google Brain, Jagiellonian University, Cracow",Industry - Academia Collaboration (Industry leaning),"N Shazeer, A Mirhoseini, K Maziarz, A Davis",23/01/2017,2017,Outrageously Large Neural Networks: The Sparsely-Gated Mixture-of-Experts Layer,https://arxiv.org/abs/1701.06538,6.87E+02,,No,8.70E+09,9.39E+19,,1.00E+11,,,,,,,,Sparse,,8484.35,,Long Short-Term Memory Mixture-Of-Experts,Industry,"The capacity of a neural network to absorb information is limited by its number of parameters. Conditional computation, where parts of the network are active on a per-example basis, has been proposed in theory as a way of dramatically increasing model capacity without a proportional increase in computation. In practice, however, there are significant algorithmic and performance challenges. In this work, we address these challenges and finally realize the promise of conditional computation, achieving greater than 1000x improvements in model capacity with only minor losses in computational efficiency on modern GPU clusters. We introduce a Sparsely-Gated Mixture-of-Experts layer (MoE), consisting of up to thousands of feed-forward sub-networks. A trainable gating network determines a sparse combination of these experts to use for each example. We apply the MoE to the tasks of language modeling and machine translation, where model capacity is critical for absorbing the vast quantities of knowledge available in the training corpora. We present model architectures in which a MoE with up to 137 billion parameters is applied convolutionally between stacked LSTM layers. On large language modeling and machine translation benchmarks, these models achieve significantly better results than state-of-the-art at lower computational cost."
